Time	Dis1	Dis2	Dis3	Dis4	Dis5	Dis6	Dis7	Acc7
0	-0.02	-0.00875	-0.00125	-0.0025	0.0025	0.00875	0.01375	-6.5625E-5
0.01	-0.015	-0.0075	0.0025	0.00125	0.00375	0.01	0.01375	6.5625E-5
0.02	-0.0125	-0.00375	0.00875	0.00375	0.005	0.01125	0.01625	1.96875E-4
0.03	-0.015	-0.0025	0.005	0.00375	0.00625	0.01	0.01625	-3.28125E-4
0.04	-0.01625	-0.00125	0.00374999999999999	0.0025	0.00375	0.0125	0.01875	2.625E-4
0.05	-0.01625	-0.00375	0.00374999999999999	0.0025	0.005	0.00875	0.0175	4.59375E-4
0.06	-0.01375	0	0.01125	0.00375	0.00625	0.015	0.0225	6.5625E-5
0.07	-0.0175	-0.00625	0.00625	0.00375	0.0075	0.01625	0.0225	-3.28125E-4
0.08	-0.015	0	0.00625	0.005	0.00375	0.01625	0.025	-2.625E-4
0.09	-0.015	-0.005	0.005	0.0025	0.00625	0.015	0.0225	1.3125E-4
0.1	-0.01625	-0.00125	0.00625	0.00375	0.00375	0.01	0.01625	-5.25E-4
0.11	-0.0225	-0.0075	0	-0.0025	-0.0025	0.00625	0.015	6.5625E-5
0.12	-0.0175	0.0025	0.0075	0.00625	0.00875	0.01625	0.02	3.9375E-4
0.13	-0.01625	-0.00375	0.00625	0.0025	0.00375	0.00625	0.02	-6.5625E-5
0.14	-0.0175	-0.005	0.005	-0.00125	0.005	0.00875	0.015	-1.3125E-4
0.15	-0.015	-0.005	0.0025	-0.00125	0.0025	0.00875	0.01125	-3.9375E-4
0.16	-0.01875	-0.0075	0.00625	-0.0025	0.00375	0.005	0.01125	-1.96875E-4
0.17	-0.01625	-0.01	0.00374999999999999	-0.005	0.0025	0.01	0.0075	-3.28125E-4
0.18	-0.02125	-0.005	0.00625	-0.00125	0.005	0.0075	0.01375	-3.9375E-4
0.19	-0.02375	-0.01375	0	-0.01	-0.00375	0.0025	0.01	-5.25E-4
0.2	-0.02125	-0.01125	-0.00125	-0.0025	-0.00125	0.005	0.0075	-7.875E-4
0.21	-0.01625	-0.0075	0.00374999999999999	0.00125	0.0025	0.005	0.01	-1.3125E-4
0.22	-0.02125	-0.01	-0.0025	-0.00375	-0.00125	0.0025	0.00625	-5.25E-4
0.23	-0.01375	-0.005	0.00374999999999999	0.00375	0.00375	0.01	0.0175	-6.5625E-5
0.24	-0.015	-0.005	0.00125	0.0025	0.00125	0.0075	0.0125	-6.5625E-5
0.25	-0.01625	-0.00375	0.005	-0.00125	0.00375	0.00875	0.015	6.5625E-5
0.26	-0.02125	-0.0075	0.0025	0.00375	0.00375	0.00875	0.01625	2.625E-4
0.27	-0.00375	0.0025	0.00625	0.0075	0.01	0.01625	0.02	1.3125E-4
0.28	-0.01	-0.0025	0.00625	0.00125	0	0.00875	0.01625	-2.625E-4
0.29	-0.01625	-0.00625	0.0025	0	0.0025	0.0075	0.01375	-6.5625E-5
0.3	-0.0075	-0.00125	0.00625	0.0075	0.0075	0.01625	0.0175	3.9375E-4
0.31	-0.0125	-0.005	0.00625	0.00125	0.00375	0.00875	0.015	0
0.32	-0.015	-0.005	0.005	-0.00125	0.00625	0.00875	0.0125	-6.5625E-5
0.33	-0.01125	0.00125	0.005	0.0025	0.005	0.0075	0.0125	1.96875E-4
0.34	-0.01375	-0.00625	0.0025	-0.00375	0.0025	0.00625	0.0125	-6.5625E-4
0.35	-0.015	-0.0075	0.00374999999999999	0.00125	0.00625	0.00375	0.0125	-5.90625E-4
0.36	-0.015	-0.0025	0.0025	-0.005	0.00625	0.00375	0.0125	-6.5625E-5
0.37	-0.015	-0.00375	0.0025	-0.00375	0.00125	0.005	0.0075	-3.28125E-4
0.38	-0.02	-0.0075	-0.00125	-0.0025	0.00375	0.00625	0.00875	-7.21875E-4
0.39	-0.0125	-0.00625	0.0025	0.00125	0.00375	0.01	0.01125	-5.25E-4
0.4	-0.02	-0.01	0.0025	-0.005	0	0.00125	0.005	-3.9375E-4
0.41	-0.01625	-0.00375	0.0025	-0.0025	0.00125	0.005	0.0075	-8.53125E-4
0.42	-0.01875	-0.005	-0.00125	-0.00125	0	0.0025	0.005	-7.875E-4
0.43	-0.01375	-0.00375	0.0025	-0.00375	0	0.00625	0.00625	0
0.44	-0.01625	-0.00625	0.00374999999999999	0.00125	-0.00125	0.00625	0.01375	6.5625E-5
0.45	-0.01375	-0.00375	0.00125	0	0.00375	0.00875	0.01375	-4.59375E-4
0.46	-0.015	-0.0025	0.0025	0.00375	0.00375	0.01125	0.01625	1.96875E-4
0.47	-0.01625	-0.0025	0.00374999999999999	0	0	0.00375	0.01375	-1.96875E-4
0.48	-0.015	-0.00125	0.005	-0.00125	0.00375	0.01375	0.01875	0
0.49	-0.01375	-0.0075	0.00125	0.00125	0.0025	0.0075	0.015	-3.28125E-4
0.5	-0.015	-0.00125	0.005	0.005	0.00375	0.01	0.015	0
0.51	-0.01625	-0.005	0.005	-0.00125	0.005	0.0075	0.01875	-3.28125E-4
0.52	-0.01125	0	0.00875	0.0075	0.0075	0.0125	0.02	-1.3125E-4
0.53	-0.01625	-0.00875	0.0025	0	0.00375	0.005	0.01375	-3.28125E-4
0.54	-0.01375	-0.005	0.00374999999999999	0.0025	0.005	0.01	0.015	-1.96875E-4
0.55	-0.01875	-0.0075	0.00125	0	0.0075	0.0075	0.0125	-4.59375E-4
0.56	-0.015	-0.0075	0.0025	-0.0025	0.0025	0.0075	0.0125	-9.84375E-4
0.57	-0.02125	-0.00875	0.0025	-0.00375	0.00125	0.00625	0.0125	-9.84375E-4
0.58	-0.02125	-0.00375	0.00374999999999999	-0.0025	0.0025	0.00625	0.01375	-5.90625E-4
0.59	-0.02125	-0.01375	-0.00375	-0.005	0	0.00625	0.01125	-7.875E-4
0.6	-0.0175	-0.005	0.0075	0.00125	0.0025	0.00875	0.01625	-3.9375E-4
0.61	-0.02	-0.0075	0.00125	0	0.0025	0.005	0.0125	-6.5625E-4
0.62	-0.01625	-0.0025	0.005	0.00375	0.00375	0.0125	0.01625	-3.28125E-4
0.63	-0.01875	-0.005	0.0025	0.0025	0.00375	0.01	0.01375	-8.53125E-4
0.64	-0.02	-0.0025	0.00374999999999999	-0.00375	0.00375	0.01	0.015	-4.59375E-4
0.65	-0.015	-0.005	0.00374999999999999	0.0075	0.00625	0.01625	0.0225	-1.96875E-4
0.66	-0.01375	-0.00375	0.00374999999999999	0.005	0.00875	0.01375	0.0225	2.625E-4
0.67	-0.01375	0.0025	0.00875	0.0075	0.0075	0.015	0.025	1.96875E-4
0.68	-0.02625	-0.0075	-0.0025	-0.00125	0.0025	0.01125	0.01625	-7.875E-4
0.69	-0.01875	-0.00375	0.00625	0	0.00875	0.0125	0.02375	-5.25E-4
0.7	-0.01625	-0.005	0.005	0.00375	0.00375	0.01375	0.0225	-7.21875E-4
0.71	-0.01625	-0.00375	0.00374999999999999	0	0.00625	0.0125	0.025	3.28125E-4
0.72	-0.0125	-0.0025	0.00875	0.0075	0.00875	0.0125	0.02	0
0.73	-0.02	-0.0075	0.0025	0.00125	0.00375	0.00875	0.01875	-1.96875E-4
0.74	-0.01125	-0.00375	0.0075	0.00625	0.0075	0.015	0.02	-2.625E-4
0.75	-0.025	-0.005	0.005	-0.0025	0.00625	0.00625	0.01875	-2.625E-4
0.76	-0.025	-0.00625	0.00125	-0.005	0	0.005	0.01375	-0.001115625
0.77	-0.01875	-0.0075	0.00374999999999999	0.00125	0.0025	0.00875	0.0175	-7.875E-4
0.78	-0.0225	-0.00875	-0.00125	-0.00125	0.00125	0.00875	0.01375	-9.84375E-4
0.79	-0.01625	-0.00625	0.005	0	0.00375	0.00875	0.01125	-4.59375E-4
0.8	-0.0175	-0.0075	0.00625	-0.00125	0	0.01	0.02	-1.96875E-4
0.81	-0.02	-0.0075	0.00625	-0.00375	-0.00125	0.005	0.01375	-0.001115625
0.82	-0.01625	-0.005	0.00374999999999999	0.005	0.00625	0.01	0.01625	1.96875E-4
0.83	-0.02125	-0.0075	0.0025	0	0	0.00625	0.015	-3.28125E-4
0.84	-0.015	-0.0075	0.00625	0	0.00375	0.01	0.015	-1.3125E-4
0.85	-0.015	-0.005	0.00374999999999999	0.005	0.005	0.00875	0.01875	-3.9375E-4
0.86	-0.02125	-0.00875	0.005	-0.00375	0	0.00625	0.0125	-7.875E-4
0.87	-0.0125	-0.0025	0.0075	0.00625	0.00625	0.01125	0.01625	1.3125E-4
0.88	-0.01625	-0.005	0.00374999999999999	0	0.00125	0.01	0.01625	-1.3125E-4
0.89	-0.01375	-0.00375	0.00625	0.00375	0.00625	0.01	0.01625	-1.3125E-4
0.9	-0.01875	-0.00625	0.0025	-0.005	0.005	0.00875	0.01375	1.3125E-4
0.91	-0.0175	-0.00375	0.00374999999999999	0.00375	0.00125	0.00625	0.015	-3.28125E-4
0.92	-0.01375	-0.0075	0.005	0.0025	0.0025	0.01125	0.01625	-1.96875E-4
0.93	-0.025	-0.01125	0.0025	-0.00375	0.00375	0.005	0.00875	-6.5625E-4
0.94	-0.0175	-0.00375	0.00374999999999999	0	0.00125	0.00625	0.01125	-6.5625E-5
0.95	-0.01625	-0.00625	0.00374999999999999	-0.00125	0.0025	0.00875	0.0125	-7.21875E-4
0.96	-0.02	-0.01	0.00125	-0.00375	0.00125	0.0075	0.00875	-3.9375E-4
0.97	-0.01875	-0.005	0.00625	-0.0025	0.00125	0.01	0.0125	-6.5625E-5
0.98	-0.02	-0.01	-0.0025	-0.005	-0.00125	0	0.0075	-0.001115625
0.99	-0.0125	-0.00625	0.00625	-0.005	0.00125	0.005	0.00875	-9.84375E-4
1	-0.015	-0.0075	0.00125	0	-0.00125	0.005	0.01	-7.21875E-4
1.01	-0.01875	-0.01125	0.00125	-0.0025	0.00125	0.0025	0.0075	-9.84375E-4
